degisken_adi,turkce_etiket,tip,kodlama_birim,zorunlu,grup,notlar
seroloji_pozitif,Seroloji pozitif,kategorik,0=Hayır 1=Evet,Evet,BİRİNCİL SONUÇ,Türetilmiş
hla_yapildi,HLA DQ2/DQ8 bakıldı mı,kategorik,0=Hayır 1=Evet,Hayır,Çölyak testi,
hla_sonuc,HLA sonucu,kategorik,0=Negatif 1=DQ2 2=DQ8 3=Her ikisi 9=Bakılmadı,Hayır,Çölyak testi,
biyopsi_yapildi,Duodenal biyopsi yapıldı mı,kategorik,0=Hayır 1=Evet,Evet,Doğrulama,
marsh,Marsh evresi,kategorik,0=Marsh 0 1=Marsh 1 2=Marsh 2 3=Marsh 3a 4=Marsh 3b 5=Marsh 3c 9=Biyopsi yok,Hayır,Doğrulama,
tani_dogrulandi,Çölyak tanısı doğrulandı,kategorik,0=Hayır 1=Evet,Evet,BİRİNCİL SONUÇ,Marsh>=2 VEYA (tTG>=10xULN + EMA+)
tani_yolu,Tanı yolu,kategorik,1=Biyopsi 2=Biyopsisiz (ESPGHAN 2020) 9=Tanı yok,Hayır,Doğrulama,
yalanci_pozitif,Yalancı pozitif,kategorik,0=Hayır 1=Evet 9=Uygulanamaz,Hayır,Doğrulama,Seroloji+ ama biyopsi normal/seroloji normale döndü
glutensiz_diyet,İstem sırasında glutensiz diyette,kategorik,0=Hayır 1=Evet 9=Bilinmiyor,Evet,Gereksizlik,VARSA = G7 kategorisi
tekrar_istem,12 ay içinde gerekçesiz tekrar istem,kategorik,0=Hayır 1=Evet,Evet,Gereksizlik,VARSA = G3 kategorisi
panel_genis,İlk basamakta tTG+EMA+DGP birlikte,kategorik,0=Hayır 1=Evet,Evet,Gereksizlik,VARSA = G4 kategorisi
pozitif_takipsiz,Pozitif seroloji ileri tetkiksiz kaldı,kategorik,0=Hayır 1=Evet 9=Uygulanamaz,Evet,Gereksizlik,VARSA = G5 kategorisi
risk_bulgusu_yok,Hiçbir ek risk bulgusu yok,kategorik,0=Hayır 1=Evet,Evet,Gereksizlik,VARSA (+BGG doğrulanamıyorsa) = G6 kategorisi
gereksiz_kategori,Gereksizlik kategorisi,metin,G1;G2;G3;G4;G5;G6;G7 (çoklu ise noktalı virgülle),Evet,Gereksizlik,İki araştırmacı bağımsız kodlar
gereksiz_G1_G5_G7,Gereksiz istem (birincil tanım),kategorik,0=Hayır 1=Evet,Evet,BİRİNCİL SONUÇ,G1-G5 + G7 birleşimi (G6 hariç)
kodlayici1,1. kodlayıcı kararı,metin,serbest,Evet,Kalite,Cohen kappa hesabı için
kodlayici2,2. kodlayıcı kararı,metin,serbest,Evet,Kalite,
uyusmazlik_cozuldu,Uyuşmazlık çözüldü mü,kategorik,0=Uyuşmazlık yok 1=Çözüldü,Hayır,Kalite,
izlem_ay,İzlem süresi,tam sayı,ay,Hayır,İzlem,Test istenmeyenlerde sonradan tanı için
sonradan_tani,İzlemde çölyak tanısı aldı mı,kategorik,0=Hayır 1=Evet 9=İzlem yok,Hayır,İzlem,İndikasyon yanlılığı analizi için KRİTİK
dislama_nedeni,Dışlama nedeni,kategorik,0=Dışlanmadı 1=Önceden çölyak tanılı 2=Glutensiz diyette 3=Bilinen kronik hastalık 4=Antropometri eksik,Evet,Kalite,STROBE akış şeması için
